Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
186,Cason Wallace,22,OKC,SG,14,14,406,43,106,.406,22,59,.373,21,47,.447,.509,10,11,.909,11,32,43,40,33,4,17,35,118,0,,wallaca01
187,Marcus Smart,31,LAL,SG,12,9,338,37,92,.402,13,56,.232,24,36,.667,.473,30,32,.938,7,22,29,38,24,2,26,36,117,0,,smartma01
188,Cam Whitmore,21,WAS,SF,13,0,221,45,99,.455,11,34,.324,34,65,.523,.510,15,20,.750,8,22,30,8,11,2,13,17,116,0,,whitmca01
189,Kentavious Caldwell-Pope,32,MEM,SG,15,13,346,38,107,.355,14,50,.280,24,57,.421,.421,25,28,.893,6,33,39,46,12,4,16,19,115,0,,caldwke01
190,Zion Williamson,25,NOP,PF,5,5,157,38,78,.487,0,0,,38,78,.487,.487,38,57,.667,16,18,34,23,10,1,17,12,114,0,,willizi01
191,Jakob Poeltl,30,TOR,C,10,10,254,47,65,.723,0,0,,47,65,.723,.723,19,35,.543,28,47,75,17,6,6,12,36,113,0,,poeltja01
192,Brice Sensabaugh,22,UTA,SF,13,0,191,38,87,.437,22,64,.344,16,23,.696,.563,14,15,.933,7,27,34,16,8,1,11,23,112,0,,sensabr01
193,Josh Hart,30,NYK,SF,12,0,306,43,91,.473,12,37,.324,31,54,.574,.538,12,16,.750,19,59,78,56,11,2,25,24,110,1,,hartjo01
194,Miles McBride,25,NYK,SG,11,3,267,40,99,.404,24,62,.387,16,37,.432,.525,6,10,.600,9,21,30,27,9,1,9,17,110,0,,mcbrimi01
195,Gradey Dick,22,TOR,SG,14,0,234,34,79,.430,17,47,.362,17,32,.531,.538,23,28,.821,6,25,31,9,7,0,5,12,108,0,,dickgr01
196,Josh Minott,23,BOS,PF,14,9,282,38,80,.475,16,42,.381,22,38,.579,.575,15,19,.789,27,46,73,19,14,5,9,30,107,0,,minotjo01
197,Buddy Hield,33,GSW,SG,16,0,267,38,90,.422,18,57,.316,20,33,.606,.522,12,13,.923,5,19,24,24,13,0,16,19,106,0,,hieldbu01
198,Sion James,23,CHO,SG,14,9,374,35,76,.461,20,45,.444,15,31,.484,.592,16,19,.842,5,39,44,21,11,5,14,23,106,0,,jamessi01
199,Jonas Valančiūnas,33,DEN,C,13,0,155,40,73,.548,2,6,.333,38,67,.567,.562,24,33,.727,20,41,61,15,1,9,14,25,106,0,,valanjo01
200,Anthony Davis,32,DAL,PF,5,5,149,39,75,.520,3,11,.273,36,64,.563,.540,23,31,.742,17,34,51,11,8,6,11,13,104,0,,davisan02
201,Corey Kispert,26,WAS,SF,13,0,247,36,72,.500,18,47,.383,18,25,.720,.625,14,19,.737,4,26,30,21,3,2,9,17,104,0,,kispeco01
202,Jusuf Nurkić,31,UTA,C,14,9,342,39,99,.394,4,25,.160,35,74,.473,.414,22,35,.629,31,103,134,53,25,6,41,40,104,0,,nurkiju01
203,Patrick Williams,24,CHI,PF,13,0,284,35,81,.432,20,49,.408,15,32,.469,.556,14,20,.700,9,28,37,20,15,5,14,22,104,0,,willipa01
204,Luke Kennard,29,ATL,SG,13,0,291,36,74,.486,19,44,.432,17,30,.567,.615,12,13,.923,8,19,27,26,13,1,16,18,103,0,,kennalu01
205,Tyrese Martin,26,BRK,SG,14,2,293,39,103,.379,18,60,.300,21,43,.488,.466,7,11,.636,14,28,42,34,9,3,14,13,103,0,,martity01
206,Andre Drummond,32,PHI,C,12,4,274,40,67,.597,7,16,.438,33,51,.647,.649,15,24,.625,38,77,115,9,9,10,7,24,102,0,,drumman01
207,Kris Dunn,31,LAC,PG,14,8,360,38,80,.475,12,33,.364,26,47,.553,.550,13,18,.722,12,23,35,34,21,4,20,38,101,0,,dunnkr01
208,Kyle Filipowski,22,UTA,C,13,5,258,35,85,.412,11,35,.314,24,50,.480,.476,20,29,.690,20,53,73,30,5,7,16,36,101,0,,filipky01
209,Isaac Okoro,25,CHI,SG,13,13,330,36,82,.439,14,39,.359,22,43,.512,.524,15,17,.882,16,21,37,24,6,10,15,40,101,0,,okorois01
210,Luka Garza,27,BOS,C,14,0,205,36,62,.581,8,21,.381,28,41,.683,.645,20,26,.769,34,25,59,11,5,6,6,44,100,0,,garzalu01
211,Jose Alvarado,27,NOP,PG,13,0,258,34,81,.420,20,51,.392,14,30,.467,.543,11,13,.846,6,25,31,32,13,0,14,21,99,0,,alvarjo01
212,Keon Ellis,26,SAC,SG,14,2,263,34,75,.453,24,54,.444,10,21,.476,.613,7,10,.700,4,17,21,9,20,4,6,33,99,0,,elliske01
213,Sam Hauser,28,BOS,PF,15,2,323,33,103,.320,30,90,.333,3,13,.231,.466,3,4,.750,11,41,52,21,9,4,10,14,99,0,,hausesa01
214,Dalton Knecht,24,LAL,SF,14,1,249,39,84,.464,15,46,.326,24,38,.632,.554,6,9,.667,8,23,31,8,7,6,8,19,99,0,,knechda01
215,Khris Middleton,34,WAS,SF,10,10,248,38,80,.475,9,28,.321,29,52,.558,.531,14,19,.737,13,26,39,24,9,2,16,33,99,0,,middlkh01
216,Mouhamed Gueye,23,ATL,PF,15,2,253,41,82,.500,11,39,.282,30,43,.698,.567,5,10,.500,22,42,64,21,6,9,13,30,98,0,,gueyemo02
217,Cameron Johnson,29,DEN,SF,12,12,306,35,90,.389,13,45,.289,22,45,.489,.461,15,18,.833,9,24,33,23,6,1,6,25,98,0,,johnsca02
218,Egor Demin,19,BRK,PG,13,6,269,32,85,.376,24,63,.381,8,22,.364,.518,8,9,.889,7,32,39,44,11,2,22,22,96,0,,demineg01
219,Daniel Gafford,27,DAL,C,9,9,207,37,56,.661,0,0,,37,56,.661,.661,22,27,.815,20,33,53,10,8,15,10,25,96,0,,gaffoda01
220,Josh Okogie,27,HOU,SG,12,10,271,31,63,.492,16,35,.457,15,28,.536,.619,18,22,.818,11,16,27,15,19,2,7,25,96,0,,okogijo01
221,Marvin Bagley III,26,WAS,PF,13,0,190,38,58,.655,3,6,.500,35,52,.673,.681,15,21,.714,24,31,55,16,6,7,12,27,94,0,,baglema01
222,Caris LeVert,31,DET,SG,10,0,198,35,69,.507,12,30,.400,23,39,.590,.594,12,20,.600,2,15,17,35,6,4,17,12,94,0,,leverca01
223,Brook Lopez,37,LAC,C,14,0,213,33,78,.423,19,54,.352,14,24,.583,.545,8,11,.727,4,27,31,8,5,11,13,24,93,0,,lopezbr01
224,Collin Murray-Boyles,20,TOR,PF,11,3,220,34,68,.500,9,18,.500,25,50,.500,.566,16,21,.762,19,19,38,13,8,5,12,27,93,0,,murraco01
225,Day'Ron Sharpe,24,BRK,C,13,0,206,35,55,.636,3,12,.250,32,43,.744,.664,20,30,.667,31,39,70,25,13,6,25,32,93,0,,sharpda01
226,Goga Bitadze,26,ORL,C,15,0,249,33,46,.717,2,6,.333,31,40,.775,.739,21,29,.724,24,49,73,19,8,19,8,31,89,0,,bitadgo01
227,Drew Eubanks,28,SAC,C,14,3,205,37,56,.661,0,1,.000,37,55,.673,.661,15,31,.484,9,30,39,4,7,14,13,18,89,0,,eubandr01
228,Paul Reed,26,DET,C,13,2,163,39,56,.696,4,8,.500,35,48,.729,.732,7,12,.583,25,32,57,16,14,11,14,24,89,0,,reedpa01
229,Ben Sheppard,24,IND,SG,14,5,354,33,105,.314,13,58,.224,20,47,.426,.376,10,13,.769,12,51,63,25,7,3,9,35,89,0,,sheppbe01
230,Trendon Watford,25,PHI,PF,10,4,213,35,65,.538,5,12,.417,30,53,.566,.577,14,19,.737,13,34,47,37,4,2,14,28,89,1,,watfotr01
231,Trae Young,27,ATL,PG,5,5,139,26,70,.371,5,26,.192,21,44,.477,.407,32,39,.821,0,10,10,39,4,1,10,9,89,0,,youngtr01
232,Craig Porter Jr.,25,CLE,PG,15,0,259,35,66,.530,12,27,.444,23,39,.590,.621,6,12,.500,20,22,42,37,16,8,13,15,88,0,,portecr01
233,Dru Smith,28,MIA,SG,14,0,232,32,67,.478,12,31,.387,20,36,.556,.567,12,14,.857,12,16,28,46,21,2,12,25,88,0,,smithdr01
234,Bennedict Mathurin,23,IND,SF,3,3,98,24,47,.511,8,19,.421,16,28,.571,.596,31,40,.775,3,14,17,7,1,0,9,11,87,0,,mathube01
235,Jamal Shead,23,TOR,PG,14,0,253,29,67,.433,16,38,.421,13,29,.448,.552,13,16,.813,5,19,24,70,11,1,18,29,87,0,,sheadja01
236,Mike Conley,38,MIN,PG,14,4,282,26,61,.426,19,41,.463,7,20,.350,.582,15,15,1.000,5,23,28,49,11,3,14,26,86,0,,conlemi01
237,Vince Williams Jr.,25,MEM,SG,10,2,203,28,71,.394,15,44,.341,13,27,.481,.500,15,18,.833,10,37,47,33,7,2,19,21,86,0,,willivi01
238,Quinten Post,25,GSW,PF,16,7,227,31,72,.431,18,52,.346,13,20,.650,.556,5,7,.714,15,46,61,14,6,9,9,17,85,0,,postqu01
239,Dylan Harper,19,SAS,SG,6,0,140,32,64,.500,5,14,.357,27,50,.540,.539,15,18,.833,5,19,24,23,4,0,11,18,84,0,,harpedy01
240,Bub Carrington,20,WAS,PG,13,5,349,28,85,.329,17,39,.436,11,46,.239,.429,10,14,.714,3,49,52,57,9,2,32,33,83,0,,carrica01
241,Jordan Goodwin,27,PHO,PG,12,0,205,31,73,.425,15,38,.395,16,35,.457,.527,6,8,.750,19,26,45,23,16,2,13,20,83,0,,goodwjo01
242,Peyton Watson,23,DEN,SF,13,3,300,30,68,.441,5,19,.263,25,49,.510,.478,18,25,.720,14,33,47,17,15,16,13,24,83,0,,watsope01
243,Tobias Harris,33,DET,PF,6,6,193,28,71,.394,8,28,.286,20,43,.465,.451,17,18,.944,5,31,36,17,5,1,8,18,81,0,,harrito02
244,Bruce Brown,29,DEN,SG,13,0,292,29,70,.414,9,22,.409,20,48,.417,.479,13,15,.867,14,42,56,16,9,2,10,30,80,0,,brownbr01
245,Tony Bradley,28,IND,C,14,3,204,33,56,.589,0,1,.000,33,55,.600,.589,13,19,.684,29,19,48,11,2,3,7,35,79,0,,bradlto01
246,Bogdan Bogdanović,33,LAC,SG,8,2,209,26,66,.394,14,41,.341,12,25,.480,.500,11,13,.846,2,28,30,27,7,1,12,21,77,0,,bogdabo01
247,Dean Wade,29,CLE,PF,14,2,312,26,68,.382,16,50,.320,10,18,.556,.500,9,12,.750,12,40,52,20,11,8,4,23,77,0,,wadede01
