iteration,feature_method,n_features,feature_cols,model_type,model_params,preprocessor,val_exact,val_within1,test_exact,test_within1,test_overall
40,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 200}",standard,0.15555555555555556,0.4111111111111111,0.1,0.2833333333333333,0.2283333333333333
42,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 100}",robust,0.08888888888888889,0.2222222222222222,0.05,0.2,0.155
45,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200}",robust,0.18888888888888888,0.4111111111111111,0.48333333333333334,0.7666666666666666,0.6816666666666666
48,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 200}",minmax,0.07777777777777778,0.2,0.03333333333333333,0.13333333333333333,0.10333333333333332
49,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200}",robust,0.3,0.5777777777777777,0.5833333333333333,0.8333333333333334,0.7583333333333333
52,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 50}",none,0.03333333333333333,0.07777777777777778,0.05,0.18333333333333335,0.1433333333333333
58,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.1, ""max_depth"": 10, ""n_estimators"": 300}",standard,0.14444444444444443,0.4444444444444444,0.5333333333333333,0.7333333333333334,0.6733333333333332
59,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100}",minmax,0.15555555555555556,0.37777777777777777,0.5833333333333333,0.8333333333333334,0.7583333333333333
60,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100}",minmax,0.1,0.2,0.55,0.7666666666666667,0.7016666666666667
61,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 200}",robust,0.6,0.8666666666666667,0.05,0.16666666666666669,0.13166666666666665
